bt_get_commits called! tips_len: 219, date_order: 1
Initial Ready: index: 1640, time: 1744194795, oid: BtOid { s0: 3615087994, s1: 2667832720, s2: 2305767796, s3: 1030296764, s4: 576750829 }
Initial Ready: index: 1642, time: 1530870019, oid: BtOid { s0: 467348658, s1: 2313515366, s2: 4052449200, s3: 1079702919, s4: 1912631101 }
Initial Ready: index: 1643, time: 1753802359, oid: BtOid { s0: 333765165, s1: 389380880, s2: 714910271, s3: 2802086963, s4: 4229555592 }
Initial Ready: index: 1653, time: 1715935853, oid: BtOid { s0: 3223602512, s1: 57874323, s2: 2615423035, s3: 1962140515, s4: 1529845008 }
Initial Ready: index: 1656, time: 1712668019, oid: BtOid { s0: 3636472452, s1: 3188431484, s2: 3383246059, s3: 490883330, s4: 3766698118 }
Initial Ready: index: 1662, time: 1667074866, oid: BtOid { s0: 1238913684, s1: 3922531727, s2: 2802853311, s3: 1180228105, s4: 726068104 }
Initial Ready: index: 1692, time: 1661635325, oid: BtOid { s0: 1712695314, s1: 3116252095, s2: 1139745559, s3: 914135042, s4: 1585667787 }
Initial Ready: index: 1694, time: 1701295262, oid: BtOid { s0: 2603263364, s1: 1103533259, s2: 69244341, s3: 2989588238, s4: 1057963661 }
Initial Ready: index: 1705, time: 1735119245, oid: BtOid { s0: 2533538809, s1: 3838321567, s2: 3452977397, s3: 2136891474, s4: 3853724992 }
Initial Ready: index: 1709, time: 1708642304, oid: BtOid { s0: 2539072154, s1: 939527355, s2: 3853458180, s3: 3774545411, s4: 2956805055 }
Initial Ready: index: 1711, time: 1719921549, oid: BtOid { s0: 110272884, s1: 198437329, s2: 3347323523, s3: 4067987605, s4: 1003662956 }
Initial Ready: index: 1712, time: 1721806747, oid: BtOid { s0: 637045833, s1: 2851519910, s2: 1910019238, s3: 2952804191, s4: 3980860498 }
Initial Ready: index: 1720, time: 1709717690, oid: BtOid { s0: 2108572953, s1: 2028744830, s2: 2470853339, s3: 1781762277, s4: 564545334 }
Initial Ready: index: 1726, time: 1747991226, oid: BtOid { s0: 2293317935, s1: 1002540441, s2: 3956588641, s3: 560311754, s4: 2066809263 }
Initial Ready: index: 1742, time: 1756489536, oid: BtOid { s0: 2036588176, s1: 739430338, s2: 1034620712, s3: 2382263881, s4: 2329658424 }
Initial Ready: index: 1746, time: 1758659053, oid: BtOid { s0: 2992146507, s1: 2079267807, s2: 3530654222, s3: 1821465405, s4: 3938387045 }
Initial Ready: index: 1748, time: 1668202376, oid: BtOid { s0: 1699082478, s1: 3309951652, s2: 1170223895, s3: 166599759, s4: 4167444741 }
Initial Ready: index: 1768, time: 1756987857, oid: BtOid { s0: 2680467930, s1: 3330008397, s2: 2672926869, s3: 265273899, s4: 2792584822 }
Initial Ready: index: 1769, time: 1686312020, oid: BtOid { s0: 535276861, s1: 2584589928, s2: 1549059780, s3: 3830700985, s4: 698547142 }
